"","mfl_id","name","team","draft_year","stats_global_id","fleaflicker_id","rotoworld_id","nfl_id","espn_id","sportsdata_id","draft_round","draft_pick","height","weight","college","birthdate","age","sleeper_id","first_name","last_name","fantasy_data_id","rotowire_id","gsis_id","stats_id","yahoo_id","displayname","mergename","pos","avg_salary","fa_yr","doECR","dpECR","rpECR"
"11","7422","Watson, Ben","FA","2004","246082","2030","48","benjaminwatson/2506122","5557","d81844de-54c3-42ee-9850-072dc4131b6f","1","32","75","255","Georgia",1980-12-18,38.8,"663","Ben","Watson",11756,3872,"00-0022943",246082,6791,"Ben Watson","ben watson","TE",NA,NA,NA,NA,NA
"12","7480","Schaub, Matt","ATL","2004","246140","1431","16","mattschaub/2505982","5615","1f09583f-dcc1-43e8-a7fc-f063d2c96508","3","27","78","245","Virginia",1981-06-25,38.3,"178","Matt","Schaub",4633,3793,"00-0022787",246140,6849,"Matt Schaub","matt schaub","QB",1.9,2021,NA,NA,NA
"13","7813","Smith, Alex","WAS","2005","217357","3356","3119","alexsmith/2506340","8416","2fda010a-8c62-4c07-b601-4ba03f57e6af","1","1","76","213","Utah",1984-05-07,35.4,"268","Alex","Smith",6739,4306,"00-0023436",217357,7177,"Alex Smith","alex smith","QB",23.5,2023,NA,53.5,NA
"14","7836","Rodgers, Aaron","GBP","2005","213957","3452","3118","aaronrodgers/2506363","8439","0ce48193-e2fa-466e-a986-33f751add206","1","24","74","225","California",1983-12-02,35.9,"96","Aaron","Rodgers",2593,4307,"00-0023459",213957,7200,"Aaron Rodgers","aaron rodgers","QB",33.5,2024,72.3,7,6
"15","7877","Gore, Frank","BUF","2005","157341","2848","3205","frankgore/2506404","8479","6a2b129d-a9e5-4131-b491-82269b323f77","3","1","69","212","Miami (Fla.)",1983-05-14,36.4,"232","Frank","Gore",5820,4400,"00-0023500",157341,7241,"Frank Gore","frank gore","RB",2,2020,199.6,79.6,44.4
"16","7942","Sproles, Darren","PHI","2005","164505","3501","3221","darrensproles/2506467","8544","15b156b5-30cc-4070-b60a-1c09e62c5a9b","4","29","66","190","Kansas State",1983-06-20,36.3,"246","Darren","Sproles",6198,4320,"00-0023564",164505,7306,"Darren Sproles","darren sproles","RB",1.3,2020,NA,93.8,73
"17","8025","Anderson, Derek","FA","2005","159904",NA,"3233","derekanderson/2506546","8627","72fbe462-91c5-4c84-9640-e8ad7cad6447","6","39","78","235","Oregon State",1983-06-15,36.3,"691","Derek","Anderson",12083,4313," 00-0023645",159904,7389,"Derek Anderson","derek anderson","QB",NA,NA,NA,NA,NA
"18","8042","Cassel, Matt","FA","2005","145407",NA,"3237","mattcassel/2506562","8644","8263e101-aa33-435f-bf0f-388e1c4eeb59","7","16","76","225","Southern California",1982-05-17,37.4,"389","Matt","Cassel",8723,4574,"00-0023662",145407,7406,"Matt Cassel","matt cassel","QB",NA,NA,NA,NA,NA
"19","8062","Fitzpatrick, Ryan","MIA","2005","161355","3011","3240","ryanfitzpatrick/2506581","8664","0742d2ea-1cf2-49a6-a150-77ba6e034d8c","7","36","74","228","Harvard",1982-11-24,36.9,"333","Ryan","Fitzpatrick",8283,4385,"00-0023682",161355,7426,"Ryan Fitzpatrick","ryan fitzpatrick","QB",5.5,2021,NA,41.3,37.3
"20","8247","Davis, Vernon","WAS","2006","215595","4060","3638","vernondavis/2495826","9592","0a95e792-6455-4927-9539-f95fa7f41fbb","1","6","75","248","Maryland",1984-01-31,35.7,"200","Vernon","Davis",5084,4732,"00-0024221",215595,7755,"Vernon Davis","vernon davis","TE",5,2020,NA,46.7,27.2
"21","8252","Cutler, Jay","FA","2006","158918",NA,"3608","jaycutler/2495824","9597","ecd3bc0f-04dd-4945-9454-3fc4722fa5a8","1","11","75","231","Vanderbilt",1983-04-29,36.5,"416","Jay","Cutler",8972,4783,NA,158918,7760,"Jay Cutler","jay cutler","QB",NA,NA,NA,NA,NA
"22","8269","Lewis, Marcedes","GBP","2006","214197","4007","3615","marcedeslewis/2495888","9614","9c21e9af-681c-41ef-9b00-fbc9e1668ed1","1","28","78","267","UCLA",1984-05-19,35.4,"111","Marcedes","Lewis",3061,4891,"00-0024243",214197,7777,"Marcedes Lewis","marcedes lewis","TE",2.1,2020,NA,69.5,NA
"23","8360","Marshall, Brandon","FA","2006","179701",NA,"3653","brandonmarshall/2495893","9705","bbca096b-fd15-498a-86c2-feb44737363f","4","22","77","232","Central Florida",1984-03-23,35.6,"648","Brandon","Marshall",11667,4879,"00-0024334",179701,7868,"Brandon Marshall","brandon marshall","WR",NA,NA,NA,NA,NA
"24","8416","Walker, Delanie","TEN","2006","218943","4353","3976","delaniewalker/2495966","9761","ccce5e8e-52ca-4f0f-a40f-fe5e7227d156","6","6","74","248","Central Missouri Sta",1984-08-12,35.2,"284","Delanie","Walker",7175,4888,"00-0024389",218943,7924,"Delanie Walker","delanie walker","TE",8.5,2021,185.5,24.2,12.4
"25","8657","Johnson, Calvin","FA","2007","266919",NA,"4153","calvinjohnson/2495647","10447","2c56748d-6e13-495c-bec2-de67a8683fa0","1","2","77","237","Georgia Tech",1985-09-29,34,"240","Calvin","Johnson",6029,5189,NA,266919,8256,"Calvin Johnson","calvin johnson","WR",NA,NA,NA,NA,NA
"26","8658","Peterson, Adrian","WAS","2007","267443",NA,"4169","adrianpeterson/2507164","10452","ab58c0ac-a747-47e6-9b3c-505e41d2bd3d","1","7","73","220","Oklahoma",1985-03-21,34.6,"184","Adrian","Peterson",4807,5215,"00-0025394",267443,8261,"Adrian Peterson","adrian peterson","RB",2.5,2021,201.4,66.3,49.6
"27","8670","Lynch, Marshawn","FA","2007","269221",NA,"4186","marshawnlynch/2495663","10456","82bce0be-9a87-4b6d-a85b-623bf8d1674e","1","12","71","215","California",1986-04-22,33.5,"745","Marshawn","Lynch",12386,5202,"00-0025399",269221,8266,"Marshawn Lynch","marshawn lynch","RB",NA,NA,NA,NA,NA
"28","8673","Ginn Jr., Ted","NOS","2007","246804","4710","4168","tedginn/2507166","10453","3aef6950-1c19-4454-a3d0-0afe9634ea9f","1","9","71","180","Ohio State",1985-04-12,34.5,"695","Ted","Ginn Jr.",12109,5214,"00-0025396",246804,8263,"Ted Ginn","ted ginn","WR",NA,NA,301.5,116,76.8
"29","8687","Olsen, Greg","CAR","2007","230925","4828","4190","gregolsen/2495700","10475","587d0a98-7ec5-45a5-adba-8af26e8f256b","1","31","77","255","Miami (Fla.)",1985-03-11,34.6,"58","Greg","Olsen",1658,5206,"00-0025418",230925,8285,"Greg Olsen","greg olsen","TE",8.6,2021,204.3,26.2,10.2
"30","8712","Stanton, Drew","CLE","2007","215910",NA,"4179","drewstanton/2495748","10487","22fb2b54-4936-4e8a-a48d-62096c0c9bb1","2","11","75","226","Michigan State",1984-05-07,35.4,"181","Drew","Stanton",4737,5251,"00-0025430",215910,8297,"Drew Stanton","drew stanton","QB",3.2,2020,NA,NA,NA
"31","8910","Harris, Clark","CIN","2007","216309","4770","4288","clarkharris/2495620","10686","d7eec5c7-c401-485e-b0c8-fb0784c07b27","7","33","77","250","Rutgers",1984-07-10,35.3,NA,"Clark","Harris",NA,NA,NA,NA,NA,"Clark Harris","clark harris","TE",NA,NA,NA,NA,NA
"32","8944","Moore, Matt","KCC","2007","214201",NA,"4535","mattmoore/2507282","11128","76d7615e-8eb5-4761-b6a6-1e895d01baf3",NA,NA,"75","219","Oregon State",1984-08-09,35.2,"233","Matt","Moore",5834,5432," 00-0025708",214201,8544,"Matt Moore","matt moore","QB",1,2020,NA,NA,NA
"33","9044","Bennett, Martellus","FA","2008","302238",NA,"4639","martellusbennett/1062","11295","0ca741f8-58bd-4933-9d5c-0e04de3f4cff","2","30","78","275","Texas A&M",1987-03-10,32.6,"40","Martellus","Bennett",1181,5709,"00-0026201",302238,8838,"Martellus Bennett","martellus bennett","TE",NA,NA,NA,NA,NA
"34","9054","Charles, Jamaal","FA","2008","300346",NA,"4617","jamaalcharles/925","11307","aca06a5e-0e3a-4285-a025-199f8fa0376f","3","10","71","199","Texas",1986-12-27,32.8,"323","Jamaal","Charles",7969,5663," 00-0026213",300346,8850,"Jamaal Charles","jamaal charles","RB",NA,NA,NA,NA,NA
"35","9064","Flacco, Joe","DEN","2008","216342",NA,"4677","JoeFlacco","11252","64797df2-efd3-4b27-86ee-1d48f7edb09f","1","18","78","245","Delaware",1985-01-16,34.7,"19","Joe","Flacco",611,5648,"00-0026158",216342,8795,"Joe Flacco","joe flacco","QB",22.1,2022,281,35.3,28.6
"36","9073","Henne, Chad","KCC","2008","264851","5343","4684","chadhenne/252","11291","f55053e4-4bfd-495d-981a-d62e3662f01b","2","26","75","222","Michigan",1985-07-02,34.3,"89","Chad","Henne",2405,5685,"00-0026197",264851,8834,"Chad Henne","chad henne","QB",3.4,2020,NA,NA,NA
"37","9075","Jackson, DeSean","PHI","2008","300173",NA,"4659","deseanjackson/1581","11283","3e618eb6-41f2-4f20-ad70-2460f9366f43","2","18","70","175","California",1986-12-01,32.9,"147","DeSean","Jackson",3943,5581,"00-0026189",300173,8826,"DeSean Jackson","desean jackson","WR",9.3,2022,155,65.7,47.2
"38","9099","Ryan, Matt","ATL","2008","216263","5371","4637","mattryan/310","11237","7e648a0b-fdc8-4661-a587-5826f2cac11b","1","3","76","217","Boston College",1985-05-17,34.4,"24","Matt","Ryan",732,5610,"00-0026143",216263,8780,"Matt Ryan","matt ryan","QB",30,2024,96.4,10.8,4.4
"39","9101","Stewart, Jonathan","FA","2008","296086",NA,"4650","jonathanstewart/949","11247","96a1fc85-5af7-49fa-a5ac-ddc06c205ced","1","13","70","245","Oregon",1987-03-21,32.6,"218","Jonathan","Stewart",5451,5578,"00-0026153",296086,8790,"Jonathan Stewart","jonathan stewart","RB",NA,NA,NA,NA,NA
"40","9118","Nelson, Jordy","FA","2008","227442",NA,"4731","jordynelson/1032","11270","9f2aebe4-b654-4f0e-a437-ec46f20b6bfe","2","5","75","217","Kansas State",1985-05-31,34.4,"175","Jordy","Nelson",4556,5691,"00-0026176",227442,8813,"Jordy Nelson","jordy nelson","WR",NA,NA,NA,NA,NA
"41","9200","Slater, Matt","NEP","2008","0",NA,"4904","mattslater/4487","11387","9d404288-65c5-414f-8ea5-ceb97eccaea0","5","18","71","195","UCLA",1985-09-09,34.1,"312","Matt","Slater",7651,5786,"00-0026293",234403,8930,"Matt Slater","matt slater","WR",NA,NA,NA,NA,NA
"42","9207","Johnson, Josh","FA","2008","273278",NA,"4706","joshjohnson/264","11394","73e133bf-d3f7-4fda-bd25-2fde66cb8ee1","5","25","75","219","San Diego",1986-05-15,33.4,"260","Josh","Johnson",6489,5653," 00-0026300",273278,8937,"Josh Johnson","josh johnson","QB",NA,NA,NA,NA,NA
"43","9250","Garcon, Pierre","FA","2008","399939","5381","4945","pierregarcon/2346","11439","a824d9ff-12a4-4ed2-812d-404b0b4e52f9","6","39","72","211","Mount Union",1986-08-08,33.2,"269","Pierre","Garcon",6767,5703,"00-0026345",399939,8982,"Pierre Garcon","pierre garcon","WR",NA,NA,NA,NA,NA
"44","9308","Amendola, Danny","DET","2008","263758","5595","4991","dannyamendola/2649","11674","973bfe3c-6d0d-4130-a79c-f860650b1da6",NA,NA,"71","185","Texas Tech",1985-11-02,33.9,"491","Danny","Amendola",9906,5813,"00-0026035",263758,9037,"Danny Amendola","danny amendola","WR",4.5,2020,281,106,72.6
"45","9427","Crabtree, Michael","FA","2009","324799",NA,"5135","michaelcrabtree/71269","12563","fe767946-236d-4c04-9c59-5e3edd51acfe","1","10","73","215","Texas Tech",1987-09-14,32.1,"455","Michael","Crabtree",9331,5961,"00-0026986",324799,9274,"Michael Crabtree","michael crabtree","WR",NA,NA,NA,NA,NA
"46","9429","Sanchez, Mark","FA","2009","297127",NA,"5192","marksanchez/79858","12482","e6c40f79-1bbd-4f62-9391-7f535f110c0d","1","5","74","225","Southern Cal",1986-11-11,32.9,"350","Mark","Sanchez",8415,5973,"00-0026898",297127,9269,"Mark Sanchez","mark sanchez","QB",NA,NA,NA,NA,NA
"47","9431","Stafford, Matthew","DET","2009","323205","6038","5132","matthewstafford/79860","12483","ade43b1a-0601-4672-83b6-d246bc066a19","1","1","75","220","Georgia",1988-02-07,31.7,"421","Matthew","Stafford",9038,5971,"00-0026498",323205,9265,"Matthew Stafford","matthew stafford","QB",27,2023,140.9,17.1,16.6
"48","9436","Maclin, Jeremy","FA","2009","333818",NA,"5169","jeremymaclin/80429","12579","5f05de83-f15d-42f1-8271-284ca54f63de","1","19","72","198","Missouri",1988-05-11,31.4,"411","Jeremy","Maclin",8914,5960,"00-0026995",333818,9283,"Jeremy Maclin","jeremy maclin","WR",NA,NA,NA,NA,NA
"49","9441","Harvin, Percy","FA","2009","329777",NA,"5197","percyharvin/80425","12569","3752af7b-f40d-4f82-8072-4fb84d15090d","1","22","71","184","Florida",1988-05-28,31.4,"429","Percy","Harvin",9079,5974,NA,329777,9286,"Percy Harvin","percy harvin","WR",NA,NA,NA,NA,NA
"50","9448","McCoy, LeSean","KCC","2009","397945",NA,"5168","leseanmccoy/79607","12514","166292fc-629e-4c7b-b7bf-f572ca9eeb43","2","21","71","210","Pittsburgh",1988-07-12,31.2,"676","LeSean","McCoy",11932,5970,"00-0027029",397945,9317,"LeSean McCoy","lesean mccoy","RB",3,2020,138.4,46.6,30.8
"51","9452","Heyward-Bey, Darrius","FA","2009","284925","6044","5093","darriusheyward-bey/80427","12570","c456e060-d4d8-46cb-acf4-296edfb4f7bd","1","7","74","210","Maryland",1987-02-26,32.6,"394","Darrius","Heyward-Bey",8771,5993,"00-0026983",284925,9271,"Darrius Heyward-Bey","darrius heyward-bey","WR",NA,NA,NA,NA,NA
"52","9467","Britt, Kenny","FA","2009","336831","6067","5130","kennybritt/71217","12556","869882c4-728a-4349-8294-ffa32b5a4f31","1","30","75","230","Rutgers",1988-09-19,31.1,"366","Kenny","Britt",8532,5963,"00-0027006",336831,9294,"Kenny Britt","kenny britt","WR",NA,NA,NA,NA,NA
"53","9474","Cook, Jared","NOS","2009","296480","6126","5165","jaredcook/71265","12537","3b7a1409-d154-4e5c-8c94-9d4a0e0993c7","3","25","77","254","South Carolina",1987-04-07,32.5,"367","Jared","Cook",8534,5981,"00-0027061",296480,9353,"Jared Cook","jared cook","TE",7.5,2021,152.9,18.8,17.8
"54","9524","Tate, Brandon","FA","2009","288161","6120","5140","brandontate/81306","12597","3289f9ce-e1d1-40ed-9d3f-242a1712c586","3","19","73","195","North Carolina",1987-10-05,32,"346","Brandon","Tate",8373,6023,"00-0027057",288161,9347,"Brandon Tate","brandon tate","WR",NA,NA,NA,NA,NA
"55","9525","Wallace, Mike","FA","2009","339270","6121","5329","mikewallace/2507763","12601","b37b5be9-4771-4368-988f-fb936f4fc0ad","3","20","72","200","Mississippi",1986-08-01,33.2,"365","Mike","Wallace",8529,6110,"00-0026901",339270,9348,"Mike Wallace","mike wallace","WR",NA,NA,NA,NA,NA
"56","9611","Miller, Zach","FA","2009","245993",NA,"5394","zachmiller/238457","12699","338b1ed8-131f-41f4-850a-1f93534558c7","6","7","77","245","Nebraska-Omaha",1984-10-04,35,"749","Zach","Miller",12415,6124,"00-0027125",245993,9444,"Zach Miller","zach miller","TE",NA,NA,NA,NA,NA
"57","9638","Phillips, John","FA","2009","323332","6245","5419","johnphillips/71435","12550","c43cf6a1-8faa-4f95-aa2a-f1aac3ffe103","6","35","77","251","Virginia",1987-06-11,32.3,"406","John","Phillips",8848,6130,"00-0027139",323332,9472,"John Phillips","john phillips","TE",NA,NA,NA,NA,NA
"58","9662","Edelman, Julian","NEP","2009","334733","6269","5440","julianedelman/238498","12649","2bb70d56-a79a-4fa1-ae37-99858a3ffd55","7","23","70","198","Kent State",1986-05-22,33.4,"344","Julian","Edelman",8355,6141,"00-0027150",334733,9496,"Julian Edelman","julian edelman","WR",7.8,2022,103.9,45.2,16.8
"59","9706","Daniel, Chase","CHI","2009","300101","6353","5170","chasedaniel/81284","12471","0045a36c-f464-49e0-a25a-9210edc94bc1",NA,NA,"72","225","Missouri",1986-10-07,33,"490","Chase","Daniel",9902,6162,"00-0026544",300101,9678,"Chase Daniel","chase daniel","QB",5,2020,NA,45.8,35.5
"60","9714","Hoyer, Brian","IND","2009","264725","6324","5463","brianhoyer/81294","12477","af4ba620-2f00-4b00-9111-7897f2b1cde8",NA,NA,"74","216","Michigan State",1985-10-31,33.9,"345","Brian","Hoyer",8358,6140,"00-0026625",264725,9547,"Brian Hoyer","brian hoyer","QB",4,2022,NA,58,54
"61","9817","Bradford, Sam","FA","2010","333276","6558","5161","sambradford/497095","13197","cc3640b0-7560-431f-84ab-599e9dc8cac6","1","1","76","224","Oklahoma",1987-11-08,31.9,"621","Sam","Bradford",11527,6452,"00-0027854",333276,23976,"Sam Bradford","sam bradford","QB",NA,NA,NA,NA,NA
"62","9823","Bryant, Dez","FA","2010","397499",NA,"5558","dezbryant/497278","13215","b84fb536-9705-45a9-b652-92a33578ac48","1","24","74","220","Oklahoma State",1988-11-04,30.9,"574","Dez","Bryant",11270,6336,"00-0027902",397499,23999,"Dez Bryant","dez bryant","WR",NA,NA,NA,NA,NA
"63","9831","Tate, Golden","NYG","2010","400490","6642","5583","goldentate/497326","13217","c88d9352-b835-45ed-a909-1cfec09a58bc","2","28","71","191","Notre Dame",1988-08-02,31.2,"642","Golden","Tate",11611,6389,"00-0027891",400490,24035,"Golden Tate","golden tate","WR",9.4,2023,131.7,58.9,43.6
"64","9838","Gresham, Jermaine","FA","2010","333278",NA,"5549","jermainegresham/497238","13228","b44773b9-af17-4d6c-a453-132e20849712","1","21","77","260","Oklahoma",1988-06-16,31.3,"530","Jermaine","Gresham",11026,6455,"00-0027873",333278,23996,"Jermaine Gresham","jermaine gresham","TE",NA,NA,NA,NA,NA
"65","9843","LaFell, Brandon","FA","2010","303885","6619","5188","brandonlafell/497302","12576","5707d2b0-ea9e-4a5e-8289-9d52197301d9","3","14","75","210","LSU",1986-11-04,32.9,"613","Brandon","LaFell",11463,6503,"00-0027681",303885,24053,"Brandon LaFell","brandon lafell","WR",NA,NA,NA,NA,NA
"66","9884","Thomas, Demaryius","NYJ","2010","335172","6581","5700","demaryiusthomas/497328","13216","6e444737-a1e1-4ddd-b963-cd6a9496fde0","1","24","75","225","Georgia Tech",1987-12-25,31.8,"560","Demaryius","Thomas",11197,6440,"00-0027874",335172,23997,"Demaryius Thomas","demaryius thomas","WR",2.9,2020,278,109,86.8
"67","9898","Blount, LeGarrette","FA","2010","450778",NA,"5854","legarretteblount/497149","13213","f5d20030-d934-45e3-8282-e34c6c83ad84",NA,NA,"72","247","Oregon",1986-12-05,32.9,"730","LeGarrette","Blount",12296,6482,"00-0027325",450778,24318,"LeGarrette Blount","legarrette blount","RB",NA,NA,NA,NA,NA
"68","9899","McCoy, Colt","WAS","2010","306296","6625","5699","coltmccoy/497123","13199","3699dfd9-d437-43f7-b674-adbb31e7e64b","3","21","73","212","Texas",1986-09-05,33.1,"533","Colt","McCoy",11047,6444,"00-0027688",306296,24060,"Colt McCoy","colt mccoy","QB",3.2,2020,NA,53,38
"69","9902","Gronkowski, Rob","FA*","2010","381091",NA,"5729","robgronkowski/497240","13229","2142a164-48ad-47d6-bb27-0bc58c6b2e62","2","10","78","268","Arizona",1989-05-14,30.4,"515","Rob","Gronkowski",10974,6443,"00-0027656",381091,24017,"Rob Gronkowski","rob gronkowski","TE",NA,NA,NA,NA,NA
"70","9912","Dickson, Ed","SEA","2010","296060","6604","5840","eddickson/497224","13272","46bb9a85-523c-4530-95c3-2c2a9737e65f","3","6","76","250","Oregon",1987-07-25,32.2,"701","Ed","Dickson",12153,6530,"00-0027675",296060,24045,"Ed Dickson","ed dickson","TE",3.6,2021,NA,64.5,NA
"71","9918","Sanders, Emmanuel","DEN","2010","324216","6636","5885","emmanuelsanders/497322","13295","fd4e8681-f2f4-47c7-b954-a72be9b1ca00","3","18","71","180","Southern Methodist",1987-03-17,32.6,"538","Emmanuel","Sanders",11063,6523,"00-0027685",324216,24057,"Emmanuel Sanders","emmanuel sanders","WR",11,2020,150.6,58.2,31.2
"72","9921","Roberts, Andre","BUF","2010","329031","6634","5888","andreroberts/497320","13226","9691f874-be36-4529-a7eb-dde22ee4a848","3","24","71","195","Citadel",1988-01-09,31.8,"627","Andre","Roberts",11565,6506,"00-0027691",329031,24063,"Andre Roberts","andre roberts","WR",2.3,2021,NA,NA,NA
"73","9925","Graham, Jimmy","GBP","2010","295918","6610","5842","jimmygraham/497236","13232","fd85786d-3900-4dc0-9b30-334ee30413ed","3","31","79","265","Miami",1986-11-24,32.9,"616","Jimmy","Graham",11488,6532,"00-0027696",295918,24070,"Jimmy Graham","jimmy graham","TE",10,2021,207.5,27.3,12.2
"74","9946","Hoomanawanui, Michael","FA","2010","333398",NA,"5909","michaelhoomanawanui/497246","13387","add7a245-2444-491f-bdfb-b1b0d76f6a28","5","1","76","265","Illinois",1988-07-04,31.3,"622","Michael","Hoomanawanui",11535,6535,"00-0027732",333398,24108,"Michael Hoomanawanui","michael hoomanawanui","TE",NA,NA,NA,NA,NA
"75","9988","Brown, Antonio","FA*","2010","406214",NA,"5698","antoniobrown/2508061","13934","16e33176-b73e-49b7-b0aa-c405b47a706e","6","26","70","185","Central Michigan",1988-07-10,31.3,"536","Antonio","Brown",11056,6454,"00-0027793",406214,24171,"Antonio Brown","antonio brown","WR",NA,NA,NA,NA,NA
"76","9992","Webb, Joe","HOU","2010","296439","6799","5857","joewebb/1037347","13484","250199f2-1387-4b55-b96f-17fedea6db7f","6","30","76","230","UAB",1986-11-14,32.9,"606","Joe","Webb",11422,6674,"00-0027796",296439,24175,"Joe Webb","joe webb","QB",1,2020,NA,NA,NA
"77","10077","Ivory, Chris","FA","2010","335112",NA,"6168","chrisivory/2507999","13587","72f5a27a-544f-468a-b10b-89a1fc5d0e9f",NA,NA,"72","223","Washington State",1988-03-22,31.6,"717","Chris","Ivory",12239,6833,"00-0027531",335112,24400,"Chris Ivory","chris ivory","RB",NA,NA,NA,NA,NA
"78","10123","Paulsen, Logan","HOU","2010","300115",NA,"6368","loganpaulsen/2507828","13726","518c96c5-65bb-4559-8074-9cdb2ca32f99",NA,NA,"77","268","UCLA",1987-02-26,32.6,"587","Logan","Paulsen",11345,6871,"00-0027215",300115,24608,"Logan Paulsen","logan paulsen","TE",0.9,2020,NA,NA,NA
"79","10261","Green, A.J.","CIN","2011","458093",NA,"6438","a.j.green/2495450","13983","c9701373-23f6-4058-9189-8d9c085f3c49","1","4","76","210","Georgia",1988-07-31,31.2,"830","A.J.","Green",12845,7241,"00-0027942",458093,24791,"AJ Green","aj green","WR",15,2020,54.9,27.7,31.6
"80","10262","Gabbert, Blaine","TBB","2011","463393","7368","6451","blainegabbert/2495441","13987","de816e24-8442-49a4-99cd-dde7e7c05863","1","10","76","235","Missouri",1989-10-15,30,"862","Blaine","Gabbert",12982,7248,"00-0027948",463393,24797,"Blaine Gabbert","blaine gabbert","QB",1.6,2020,NA,60,49
"81","10271","Jones, Julio","ATL","2011","456614","7372","6475","juliojones/2495454","13982","0b3217b9-ba37-4222-95cb-a7a222441e8b","1","6","75","220","Alabama",1989-02-03,30.7,"947","Julio","Jones",13291,7242,"00-0027944",456614,24793,"Julio Jones","julio jones","WR",22,2024,17.9,9.4,1.8
"82","10273","Newton, Cam","CAR","2011","380750","7378","6491","camnewton/2495455","13994","214e55e4-a089-412d-9598-a16495df0d25","1","1","77","245","Auburn",1989-05-11,30.4,"954","Cam","Newton",13320,7257,"00-0027939",380750,24788,"Cam Newton","cam newton","QB",20.8,2021,115.9,14.2,22
"83","10276","Ingram, Mark","BAL","2011","456613","7371","6471","markingram/2495466","13981","f336567d-44a9-4245-8452-1dd485fd70fb","1","28","69","215","Alabama",1989-12-21,29.8,"956","Mark","Ingram",13337,7244,"00-0027966",456613,24815,"Mark Ingram","mark ingram","RB",5,2022,68.1,27.4,17.4
